timestamp,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,sa,sb,sc,sd,tx-voltage,timer1,timer2
3580,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2580,0
3584,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2584,0
3588,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2588,0
3592,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2592,0
3596,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2596,0
3600,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2600,0
3604,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2604,0
3608,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2608,0
3612,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2612,0
3616,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2616,0
3620,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2620,0
3624,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2624,0
3628,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2628,0
3632,34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2632,0
3636,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2636,0
3640,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2640,0
3644,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2644,0
3648,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2648,0
3652,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2652,0
3656,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2656,0
3660,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2660,0
3664,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2664,0
3668,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2668,0
3672,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2672,0
3676,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,23,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2676,0
3680,22,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2680,0
3684,22,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2684,0
3688,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2688,0
3692,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2692,0
3696,22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2696,0
3700,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2700,0
3704,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2704,0
3708,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2708,0
3712,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,26,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2712,0
3716,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2716,0
3720,28,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,28,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2720,0
3724,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,29,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2724,0
3728,29,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,29,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2728,0
3732,29,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,29,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2732,0
3736,29,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,29,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2736,0
